assalamualaikum| Waalaikumussalam Warahmatullah Wabarakatuh? silahkan bertanya.
bagaimana cara menerapkan keilmuan pada anak ?| Anak anak pade fase nya memiliki karakteristik ingatan yang kuat, seperti menghafal Al-Qur'an itu sangat cocok. Pun mengajarkan sunnah nabi dan menanamkan aqidah yang benar 
apakah konsep penokohan sebagai teladan untuk anak perlu dilakukan?| Anak cenderung meniru apa yang dilihatnya. Dengan mengarahkan peniruan atau teladan tokoh, Anak bisa mencontoh teladan baik yang orang tua arahkan
bagaimana konsep orang tua agar mengarhkan anak dengan keteladanan yang baik ?| Dengan menceritakan kisah nabi, orang saleh, Melakukan hal baik sehingga ditiru anak, Memperdengarkan nada-nada islami dsb
sebagai orang tua apa contoh teladan yang baik untuk anak ?| Sedekah, hal ini seakan hal kecil , namun impact dari sedekah ini sangat besar. Seperti menumbuhkan rasa empati, ukhuwah, kebersamaan dll
bagiamana sikap orang tua ketika anak berada diluar pengawasan orang tua?| Ketika anak bermain, biarkan dia bermain, namun kita harus awasi dengan baik. namun sebelum itu kita harus menemani ia dengan permainan tema tema agama. sehingga ketika bermain diluar, ia bermain tidak terlepas dari pemahaman agama
pada umur berapakah rosul memerintah anak untuk solat ?| Sesuai Hadits nabi : “Perintahlah anak-anak kalian untuk sholat pada umur 7 tahun!”
pada umur berapa anak boleh dibawa ke masjid ?| Sebaiknya anak dibawa ke masjid saat umur tamyiz yaitu 7 tahun
bolehkan membawa anak dibawah umur tamyiz ke masjid ? | Jika umur nya kurang dari tamyiz, maka umumnya tidak bagus untuk solat dimasjid.
jika anak belum mumayiz tidak membuat gelisah orang lain ketika shalat, bolehkah kita untuk membawa anak kecil ke masjid? | lebih baik engkau tidak membawanya, karena dia tidak terlepas dari bermain-main
bagaimana ketika kita membawa anak umur yang sudah mumayiz? | Jika engkau mengajaknya saat dia sudah mumayyiz, maka tempatkan dia di sisimu, sehingga dia tidak bermain-main di masjid.
bolehkan mengusir anak kecil yang  sudah terlanjur ada di masjid bahkan di shaf pertama? | Sebaiknya jangan mengusir anak kecil dari shof pertama, karena akan membuat mereka benci kepada orang yang mengusir mereka ini, sehingga ketika mereka diusir maka anak kecil akan berkumpul dan banyak bermain
apakah Nabi tidak menganjurkan untuk mengisi shaf pertama dengan orang dewasa? | Ya nabi menyarankan demikian. Nabi Berkata “Hendaklah orang yang di belakangku dari kalian adalah orang- orang yang dewasa dan berakal.” (HR. Muslim)
bagaimanakah hukum membawa anak yang mengganggu ke masjid? | Tidak boleh membawa anak-anak ke masjid jika mereka mengacaukan orang-orangyang sholat
bagaimana landasan dilarangnya membawa anak kecil yang mengganggu ketika solat ?|Nabi Berkata: "Tidak boleh membawa anak-anak ke masjid jika mereka mengacaukan orang-orang yang sholat(H.R Ahmad 2/36) . Nabi melarang dalam membaca alquran keras-keras ketika sedang ada shalat, apalagi membawa anak kecil yang mengganggu
bagaimana hukum shalat anak berumur kurang dari 15 tahun di rumah?| Yang disyariatkan anak-anak kecil itu hadir di masjid dan sholat bersama orang orang. Maka sholatnya anak-anak di masjid termasuk dari sunnah
bolehkah mengusir anak kecil yang mengganggu ketika shalat?| Boleh ! namun hendaklah untuk Berbicara kepada para wali mereka, sehingga tidak ada pada diri mereka.| bagaimana bila anak gaduh ketika shalat ?| Pertama selsaikanlah dahulu shalat kita, kemudian kenalilah anak itu dan laporkan lah kepada orang tuanya
bolehkah kita membatalkan shalat hanya untuk memberitahu anak-anak supaya tidak gaduh?|tidak boleh, karena seseorang jika telah masuk dalam satu perkara fardhu, maka dia wajib menyempurnakannya atau membereskan shalatnya
bolehkah hanya sekedar menoleh untuk mengingatkan anak-anak yang gaduh?| Menoleh (dalam sholat) untuk sebuah kebutuhan tidak apa-apa. Namun menoleh dengan wajah saja, tidak dengan badan keseluruhannya
bagaimana posisi sholat dengan anak?| Posisi shalat dengan anak yaitu dengan para lelaki yang telah baligh berada di belakang imam dan anak-anak berada di belakang mereka.
bolehkah anak kecil mendahului ke tempat shaf pertama dibanding laki-laki dewasa?| Sesungguhnya anak-anak jika mendahului ke satu tempat, maka mereka berhak dengannya daripada yang lainnya, karena keumuman dalil yang menunjukkan bahwa orang yang mendahului kepada perkara yang tidak didahului oleh seorang pun maka dia yang berhak
apakah bershaf dengan anak-anak itu sah?| Pendapat yang rojih (kuat) boleh seseorang untuk membuat shof di belakang imam, padahal tidak ada bersama mereka kecuali seorang anak kecil
apa landasan diperbolehkannya bershaf dengan anak kecil?| Karena telah tsabit dari Nabi bahwa beliau sholat mengimami Anas bin Malik, kemudian Anas berdiri, dan bersama mereka ada seorang anak yatim di belakang Rosulullah
apakah ada pendapat lain mengenai sah atau tidaknya bershaf dengan anak kecil?| Para Ulama  berbeda pendapat tentang bolehnya menyempurnakan shof dengan anak kecil dalam sholat fardhu. Ada yang mengatakan: tidak boleh. Ada yang mengatakan: boleh. Karena dalam keterangan Tsabit tidak disebutkannya solat tersebut apakah shalat sunnah atau shalat Fardhu.
bolehkah untuk memindahkan anak gaduh dari shaf pertama ke shaf belakang ? | Bicarakan dengan baik apabila memang anak tersebut berkerumun dan terlihat bermain-main pindahkanlah dengan baik, sehingga anak tersebut tidak bermain-main lagi ketika shalat
ada berapa fase usia anak dalam islam?| Fase Thufulah Usia 0 sd 7 tahun, Fase Mumayiz Usia 7 sd 10 tahun, dan Fase Muraqih Usia 10 sd 14/15 tahun (baligh)
apa yang terjadi pada anak di Fase Thufulah?| Fase Thufulah ada 2 : Sughra dan Kubhra
apa itu Fase Thufulah Sughra ?| Pada fase ini, attachment (ikatan) anak dan ibu sangat kuat. Anak bisa merasakan aliran emosi dan perasaan sang ibu. Maka sang ibu diharapkan senantiasa selalu dekat dengan Allah SWT.
apa itu fase Thufulah Kubra?| Pada fase ini anak sudah mulai berkembang bicara, maka ajarkan bahasa yang baik kepada Anak, seperti lafaz ilahiyah dsb
apa yang harus dilakukan orangtua pada anak di Fase Thufulah? | Sejatinya orang tua selalu dituntut untuk senantiasa dekat dengan Allah SWT dan diamalkan dengan mengajarkan rasa Kecintaan kepada Allah SWT, sebab Fase ini anak sudah bisa merasakan rasa empati.
apa yang terjadi pada anak di Fase Mumayiz?| Di Fase ini, akal dan penalaran sang anak sudah mulai terbuka dan berkembang. Anak sudah bisa menalar sesuatu apakah berbahaya atau tidak, Baik ataukah buruk.
apa yang harus dilakukan orangtua pada Fase Mumayiz?| Di fase ini, Nabi memerintahkan anak untuk mulai sholat. Di Fase ini anak sudah mulai menerima arahan dengan baik maka sangat baik untuk menanamkan sikap raja (Harapan) kepada Allah SWT
mengapa harus menanamkan sikap Raja' pada Fase Mumayiz?| Di usia ini, kemampuan belajar anak melesat baik, sehingga pendekatan dengan secara memotivasi, mendorong, mensugesti dengan memberikan harapan harapan balasan yang baik dari Allâh sangat tepat diterapkan.
apa yang terjadi pada anak di Fase Muraqih?| Di fase ini, anak sudah memiliki kemampuan berfikir, menalar dan logika yang baik. Kemampuan kognitifnya sudah sempurna, sehingga di fase ini anak sudah bisa menentukan sesuatu bagi dirinya sendiri.
apa yang harus dilakukan orangtua pada anak di Fase Murahiq?| Usia ini, adalah usia persiapan penerimaan beban taklif syariat. Orang tua sebaiknya menanamkan sikap khauf (Takut) kepada Allah SWT. Karena itu, pemaksaan dan metode penghukuman dapat diterapkan pada fase ini sesuai dengan hajat (kebutuhan)-nya.
mengapa harus menanamkan sikap Khauf pada Fase Murahiq?| Kemampuan belajar dan mempergunakan instrumen belajarnya di usia ini berada pada puncaknya. Kemampuan logika, kognitif dan berfikir juga sudah mulai matang. Sehingga cocok Orang tua boleh memberika ancaman dan hukuman kepada anak apabila mereka menentang atau melanggar.
apa yang terjadi pada anak setelah Fase Murahiq?| Fase Baligh ! Ini adalah fase seorang anak telah menjadi dewasa. Ia telah menjadi mukallaf yang sudah menerima beban syariat dar Allâh untuk beribadah.
apa yang terjadi pada anak di Fase Baligh?| Ia sudah bertanggung jawab dengan dirinya sendiri, termasuk urusan nafkahnya. Orang tua sudah tidak memiliki wewenang melainkan mengarahkan dan menasehati saja.
apa yang harus dilakukan orangtua pada anak di Fase Baligh?| Sejatinya Fase Baligh adalah waktu orang tua memanen hasil dari mendidik selama 3 Fase, Orang tua yang berhasil mendidik anak shalih itu dikatakan berhasil. Sehingga Orang tua hanya perlu mengarahkan dan menasihati saja.
bagaimana tips mendidik anak di Fase Thufulah Sugrha?| Orang Tua bisa dididik melalui peran sang ibu yang menyusuinya. Sang ibu selagi menyusui atau membersamai sang anak, bisa bercerita kepada sang anak. Karena Anak bisa merasakan emosi dan bahasa tubuh sang Ibu.
bagaimana tips mendidik anak di Fase Thufulah Kubra untuk belajar Berpuasa?| Anak usia thufûlah Kubrâ atau kanak-kanak, juga belum diperintahkan untuk berpuasa. Namun orang tua dianjurkan untuk menanamkan keimanan, cinta kepada Allah, dengan cara memberi tahu  Bahwa Bulan Ramadhan adalah Bulan yang paling mulia, Mencintai orang yang berpuasa dsb.
siapakah yang menciptakanmu?| Yang menciptakan kita adalah Allah. Dia-lah yang menciptakan seluruh makhluk. (QS. Az Zumar [39]: 62)
siapakah Rabb-kita?| Rabb-ku adalah Allah. Dia adalah Rabb segala sesuatu.(QS. Al An’am [6]: 164).
mengapa Allah menciptakan kita? | Dia menciptakanku supaya beribadah kepadaNya.(QS. Adz Dzariyyat [51]: 56).
apa agama kita?| Agamaku adalah agama Islam yang benar.(QS. Ali’Imran [3]: 19)
apakah kewajiban pertama yang wajib ditunaikan oleh setiap hamba?| Kewajiban pertama yang wajib ditunaikan adalah mempelajari cara menauhidkan atau mengEsakan Allah ‘azza wa jalla (dalam peribadatan).
apakah arti kalimat la ilaha illallah?| Artinya adalah tidak ada sembahan yang berhak disembah melainkan Allah semata (QS.Muhammad [47]: 19).
apa arti Muhammad utusan Allah?| Artinya beliau adalah utusan Allah kepada seluruh umat manusia baik dari bangsa jin maupun manusia.(QS. Saba` [34]: 28)
apa hak Allah atas para hamba-Nya? | Hak Allah atas para hamba-Nya adalah mereka hanya menyembah Allah semata dan tidak menyekutukan-Nya dengan sesuatu apapun
apa hukum menggambar makhluk bernyawa?| Menggambar makhluk bernyawa termasuk dosa besar Sesuai Hadits Nabi ”Sesungguhnya manusia yang paling berat siksaannya pada hari kiamat kelak adalah para pelukis.” (Muttafaqun ‘alaih)
apakah pengertian ibadah?| Ibadah adalah istilah yang mencakup segala hal yang dicintai dan diridhai Allah.(QS.Az Zumar [39]: 7)
dimana adanya Allah?| “Allah berada di langit, bersemayam di atas ‘ArsyNya.(QS. Al Mulk [67]:16)
apakah Allah bersama kita? |Allah ‘azza wa jalla bersama kita dengan ilmuNya.(QS. Al Hadid [57]: 4)
apa pengertian Islam?| Islam artinya adalah istislam (berserah diri) kepada Allah dengan menauhidkan-Nya, tunduk kepada-Nya dengan menaati Nya dan membersihkan diri dari syirik. (QS. Al Hajj [22]: 34)
apakah definisi tauhid yang didakwahkan oleh para rasul?| Tauhid adalah mengesakan Allah dalam segala peribadatan.(QS. An Nisa` [4]: 36).
ada berapa tingkatan dalam agama ini?| Tingkatan dalam agama Islam terbagi menjadi tiga tingkatan, yaitu islam, iman dan ihsan
ada berapa rukun Islam itu?|Rukun Islam ada lima.Bersaksi bahwa tiada Illah yang berhak disembah selain Allah dan bahwa nabi Muhammad Utusan Allah, menegakkan shalat, menunaikan zakat, puasa ramadhan, dan melaksanakan haji 
apakah iman itu?| Iman adalah mengucapkan dengan lisan, meyakini dengan hati dan mengamalkan dengan anggota badan.Iman itu bertambah dengan ketaatan dan berkurang dengan kemaksiatan
ada berapa rukun iman itu?| Rukun iman ada enam. beriman kepada Allah, para malaikat-Nya, kitab-kitab-Nya, para rasul-Nya, hari Akhir, dan anda beriman kepada Qada dan Qadar
apakah pengertian ihsan?| Ihsan adalah anda beribadah kepada Allah seakan-akan anda melihat-Nya. Jika anda tidak bisa melihat-Nya, sesungguhnya Dia melihatmu.
apa hukum mencela , atau mengolok-olok Allah, rasul dan agama-Nya?| Perbuatan seperti adalah kufur akbar yang berarti bahwa orang yang melakukannya dengan sengaja telah keluar dari agama Islam (QS. At Taubah [9]: 65-66)
apa balasan bagi orang-orang yang beriman dan balasan bagi orang-orang yang kafir pada hari Kiamat kelak?| Balasan bagi orang-orang yang beriman adalah surga yang berada di tempat paling tinggi.
apa penyebab pendidikan orang tua terhadap anak kian sulit ? | Karena pada abad 21 sekarang sangat erat dengan peradaan zaman yang kian maju justru melahirkan masalah yang lebih kompleks
apa dampak terjadinya zaman fenomena kelakuan anak anak yang menyimpang ?|Orang tua menjadi kuwalahan dan banyak mengeluh atas kenakalan anak- anak mereka yang sukar dikendalikan, sehingga pendidikan terhadap anak sedikit terhambat.
seberapa pentingnya anak muda sehingga perlu diperhatikan dalam segi pendidikan karakternya?|Allah Swt. telah menetapkan estafet anak muda sebagai regenerasi manusia sejak zaman azaly (dahulu tidak ada permulaannya).Sesuai dengan Q.S Yunus : 14
apa landasan yang diterapkan dalam pendidikan terhadap anak?| Syari'at Islam, Syariat Islam memberikan peluang yang besar bagi pemenuhan kebutuhan-kebutuhan dasar manusia.
apa yang menjadi kebutuhan orang tua dalam mendidik anak ?| Iman dan Amal. Iman adalah unsur yang menyangkut dengan hal spiritual. Sedangkan amal atau karya adalah hal yang menyangkut dengan material, yakni unsur jasmani.
dimana awal pendidikan anak untuk mulai diterapkan?|Di Keluarga. Orang tua sebagai pembentuk pribadi pertama dalam kehidupan anak, kepribadian orang tua, sikap dan cara hidup mereka merupakan unsur-unsur pendidikan yang tidak langsung, yang dengan sendirinya akan masuk ke dalam pribadi anak yang sedang tumbuh.
apa landasan dari kewajiban orang tua dalam mendidik anak?| Q.S. at-Tahrim/66: 6.Anak yang merupakan amanah orang tua harus diemban dengan baik, dengan cara merawat, menjaga dan juga mendidiknya agar kelak menjadi orang yang dapat dibanggakan dan tidak tersesat, baik dalam kehidupan dunia maupun akhirat.
apa tujuan pendidikan islam dalam pendidikan terhadap anak?| Tujuan pendidikan Islam pada hakikatnya menjadikan manusia yang bertaqwa, manusia yang dapat mencapai al-falah, serta kesuksesan hidup yang abadi di dunia dan akhirat (muflihun).
seberapa penting orang tua dalam mendidik anak?| Pendidikan anak adalah sebaik-baik hadiah dan merupakan sesuatu yang paling indah, sekaligus sebagai hiasan bagi orang tua. Mendidik anak adalah lebih baik dibanding dunia seisinya.
adakah konsep parenting atau pendidikan anak dalam islam?| Q.S. al-Baqarah/2: 132-133 dan Q.S. Luqman/31: 12-19 yang mengandung nilai-nilai ketauhidan dan akhlak melalui nasehat-nasehat Nabi Ibrahim dan Luqman kepada anak dan keturunannya.
bagaimana penjelasan dari Q.S Lukamn 12-19?| Surat Luqman ayat 13 menjelaskan tentang larangan untuk mempersekutukan Allah, Ayat 14 menjelaskan mengenai perintah untuk berbuat baik kepada kedua orang tua, bersyukur kepada Allah, ayat 15 menjelaskan larangan mengikuti perintah orang tua apabila orang tua memerintahkan untuk menyekutukan Allah, ayat 16 mengenai perbuatan sekecil apapun akan mendapatkan balasan, ayat 17 menjelaskan untuk mendirikan shalat, melakukan perbuatan yang makruf dan mencegah yang munkar serta perintah bersabar terhadap apa yang dialam, Ayat 18 menjelaskan mengenai larangan berbuat sombong karena sesungguhnya Allah, ayat 19 menjelaskan mengenai pentingnya hidup sederhana dan berkata dengan nada yang lembut.
apa yang dimaksud dengan Islamic Parenting?| Islamic parenting adalah pengasuhan anak dalam proses tumbuh kembangnya sesuai ajaran Islam.
apa hukum dalam melaksanakan Islamic Parenting atau pendidikan anak ini?| Mengasuh anak menurut syariat Islam merupakan kewajiban bagi orang tua. Segala sesuatu yang pertama kali di dengar, di lihat serta nilai-nilai yang pertama kali di serap oleh anak ialah berasal dari orang tua.
apa definisi Parenting secara Umum?|parenthink (parenthing) pada dasarnya adalah pola asuh dan pendidikan sejak anak lahir sehingga anak telah memenuhi kriteria untuk disebut sebagai pribadi yang dewasa, bukan hanya dewasa secara fisik, namun juga dewasa secara mental atau psikologis.
berapa lama batasan waktu dari Islamic Parenting ini?|Islamic Parenting adalah suatu proses seumur hidup untuk mempersiapkan seseorang agar dapat mengaktualisasikan perannya sebagai khalifatullah di muka bumi ini.
bagaiamana prinsip Parenting dalam Islam ?| ada empat prinsip yang harus diperhatikan oleh orang tua dalam mengasuh anak-anak mereka, yaitu memelihara fitrah anak  (almuhafazoh), mengembangkan potensi anak (at-tanmiyah), ada arahan yang jelas (at-taujih), bertahap (at-tadarruj).
apa itu Al Muhafazoh ?| setiap anak dilahirkan dalam keadaan fitrah (suci) yaitu telah beriman kepada Islam. Sehingga fitrah disini,manusia dapat menerima bahwa sesungguhnya manusia cenderung kepada kebaikan dan ini harus dijaga oleh orang tua ketika parenting
apa itu At Tanmiyah ?| Karena setiap anak dilahirkan fitrah, yaitu dengan fitrah tersebut ada potensi anak yang harus dijaga baik.
apa itu At Taujih?| Ada arahan yang jelas, Maksud mengarahkan anak pada kesempurnaan, mengajarinya dengan berbagai aturan diniyah, tidak menuruti segala permintaan anak yang kurang baik.
apa itu At Taadaruj?| Mendidik anak harus dilakukan dengan penuh kesabaran dan ketelatenan, tidak tergesa-gesa ingin melihat hasilnya, namun bertahap sedikit demi sedikit hingga anak mengerti dan paham akan apa yang kita ajarkan.
bagaimana kaidah-kaidahdalam mengarahkan Kecenderungan Seksual Anak?| a. Melatih anak meminta izin ketika masuk kamar orang tua b. Membiasakan anak menundukan pandangan dan menutup aurat c. Memisahkan tempat tidur anak d. Melatih anak tidur dalam posisi miring ke kanan e. Menjauhkan anak dari ikhtilat bersama lawan jenis f. mengajarkan kewajiban mandi janabah ketika anak mendekati baligh g. Menjelaskan perbedaan jenis kelamin dan bahaya zina ketika anak mendekati baligh
apa arti pendidikan secara umum?|Pendidikan merupakan suatu upaya yang dilakukan untuk mengalihkan pengetahuan, kebudayaan kepada generasi selanjutnya agar nantinya ia mampu mengembangkan dirinya sesuai dengan tanggung jawabnya.
adakah ilmuan Islam yang menjelaskan mengenai Islamic Parenting ? | Syaikh Jamal Abdurrahman tentang pendidikan anak usia 0-10 tahun dalam buku Islamic Parenting.
mengapa anak perlu diajarkan ibadah seperti pergi kemasjid ?|Tujuan utamanya adalah pembiasaan anak-anak terhadap pelakanaan ibadah sholat yang kelak menjadi praktik kehidupan mereka.
bagaimana kadar orang tua dalam memerintah anak solat?| Usia tujuh tahun sebagai permulaan perintah shalat anak dan sepuluh tahun sebagai permulaan perintah penerapan pukulan terhadap anak yang enggan melaksanakan shalat, secara psikologis sesuai dengan kapasitas intelektual anak.
apakah nabi pernah mencontohkan dalam memerintah solat kepada anak?| di balik lamanya sujud Nabi adalah pengenalan akan  garakan-gerakan shalat untuk cucu Nabi yang masih kecil. Di sinilah tampak sekali metode lain yang dipraktikkan Nabi dalam menanamkan ajaran shalat kepada anak kecil, bukan dengan memukul atau kekerasan lain, tetapi dimulai memberikan praktik atau contoh.
adakah korelasi pendidikan anak perintah rosul dengan pendidikan kontemporer?|Hadith kebolehan memukul anak dalam rangka mendidik sebenarnya mengisyaratkan konsep reward and punishment kepada anak didik.
bagaimana konsep Parenting secara umum?| Sugito (2008) menyatakan bahwa ada beberapa prinsip pengasuhan orang tua yang berkaitan dengan pengembangan karakter. Prinsip dimaksud meliputi keteladanan diri, kebersamaan dengan anak dalam merealisasikan nilai moral, sikap demokratis, sikap terbuka dan jujur, dan kemampuan menghayati kehidupan anak, serta kesatuan kata dan tindakan.
bagaimana prinsip Islamic Parenting menurut tokoh?|Menurut Rudi Cahyono (2015: 19-28) ada 3 Prinsip:b. Pengasuhan bersifat dialogis c. Pengasuhan menjangkau keseluruhan diri anak
bagaimana Model pendekaatan Islamic Parenting menurut tokoh Islam ?|menurut Syaikh Jamal Abdurrahman (2011:103-126) model Islamic Parenting sesuai perintah nabi diantaranya : : (1) Menasihati dan mengajari saat berjalan bersama (2) Menarik perhatian anak denganungkapan yang lembut (3) Bahaya melarang anak-anak dari mainan (4) tidak membubarkan anak yang sedang bermain (5) Tidak memisahkan anak dari keluarganya (6) Mengajarkan akhlak mulia (7) Mendoakan kebaikan, menghindari doa keburukan (8) Meminta izin berkenaan dengan hak mereka (9) Mengajari anak menyimpan rahasia (10) Makan bersama anak-anak sembari memberikan pengarahan dan meluruskan kekeliruan mereka.
apa yang dimaksud dengan Karakter?|karakter merupakan nilai-nilai universal perilaku manusia yang meliputi seluruh aktivitas kehidupan, baik yang berhubungan dengan Tuhan, diri sendiri, maupun sesama manusia, maupun dengan lingkungan yang terwujud dalam pikiran, sikap, perasaan, perkataan, dan perbuatan berdasarkan norma-norma agama, hukum tata karma, budaya, dan adat istiadat.
apa yang dimaksud dengan Akhlak ?| Imam Al-Ghazali memberikan definisi tentang akhlak sebagai berikut, “Al-Khuluq (Jamak Al-Akhlaq) ialah ibarat (sifat atau keadaan) dari perilaku yang konstan (tetap) dan meresap dalam jiwa, dari padanya tumbuh perbuatan-perbuatan dengan wajar dan mudah tanpa memerlukan pikiran dan pertimbangan” (Zainuddin, et al, 1991: 102).
apa hakikat Akhlak ?| hakikat akhlak menurut Al-Ghazali (Zainuddin, et al, 1991: 102-103) harus memenuhi dua syarat: (1) Perbuatan tersebut harus konstan, dilakukan berulangkali (continue) dalam bentuk yang sama, sehingga menjadi kebiasaan (habit forming)a. (2) Perbuatan yang konstan tersebut harus tumbuh dengan mudah sebagai bentuk wujud refleksi jiwa tanpa pertimbangan dan pemikiran.
apa tujuan dasar dari Pembentukan Karakter?| pembentukan karakter bertujuan membentuk pribadi-pribadi yang toleran, senang membantu, gotong royong, bermental tangguh, dan kompetitif, serta senantiasa memiiki ketertarikan terhadap ilmu pengetahuan.
apa Faktor-Faktor yang mempengaruhi Pembentukan Karakter?| Faktor Biologis, Faktor Geografis, Faktor Kebudayaan, Faktor Pengalaman Kelompok, Faktor Pengalaman Unik.
bagaimana prespektif Biologis dalam hal Parenting ?|Perspektif biologis berfokus pada cara berbagai peristiwa berlangsung dalam tubuh mempengaruhi perilaku, perasaan, dan pikiran seseorang. Zat kimia mengalir melintasi ruang-ruang kecil yang memisahkan sel otak yang satu dengan sel otak lainnya.
prespektif apa yang harus didahulukan dalam hal parenting ?| Perspektif kehidupan Keluarga tetap harus dikedepankan. Adapun anggota keluarga inti yang beranggotakan ayah, ibu dan anak. Keluarga kecil juga disebut keluarga inti.
bagaiamana Konsep daari Pengasuhan pada Islam?|Pengasuhan dalam Islam tidak bisa dibatasi sesuai dengan pendapat Jus’at & Jahari semata. Yaitu; sikap dan praktek yang dilakukan oleh orang meliputi cara memberi makan pada anak, memberikan stimulasi, memberi kasih sayang agar anak dapat tumbuh kembang dengan baik.
apa pengaruh dijarakannya Tauhid kepada anak?| Karsa anak terpengaruh dengan pola pendidikan tauhid selama kepengasuhan. Bila potensi pikir dan potensi rasanya selalu menyuarakan nilainilai akidahnya, maka potensi karsa anak pun semakin cenderung positif.
apa gaya Orang Tua dalam Pengasuhan Anak ?|Ada empat tipe gaya pengasuhan menurut Baumrind yang digunakan para orang tua dalam mengembangkan anakanak mereka yaitu autoritatif, autoritarian, indulgent, dan indifferent.
bagaimana Sistem Pendidikan dalam Islam?| Sistem pendidikan Islam secara umum mempunyai ciri khusus, yakni warna religius kerangka etik yang nampak jelas dalam tujuan dan sasarannya, tanpa menyampingkan masalah-masalah duniawi.
apa saja materi yang harus disampaikan kepada anak dalam Islamic Parenting?| Keimanan, Akidah, Ibadah, Akhlak
apa langkah awal yang harus dilakukan Orangtua dalam Parenting terkait dengan Akidah?| Langkah awal yang perlu dilakukan orang tua atau pendidik adalah menanamkan tauhid. Rasulullah bersabda: ajarkanlah permulaan kalimat (ucapan) pada anakanakmu dengan Laa Ilaaha Illa Allah, tiada Tuhan selain Allah.? (al-Hadist).
apa tujuan dari penanaman Akidah pada anak?|Pembinaan akidah keimanan ini dimaksudkan agar anak-anak memiliki keyakinan yang teguh terhadap Allah SWT
apa itu Ibadah?|Ibadah merupakan salah satu bentuk manivestasi dari iman. Oleh sebab itu, orang tua semestinya mengajarkan ibadah kepada anak dengan sesungguh hati.
apa Fungsi dan Tujuan dari Pendidikan Islam ?| Peranan pendidikan dalam pengembangan kualitas sumber daya insani secara mikro, sebagai proses belajar mengajar alih pengetahuan (transfer of knowledge), alih metode (transfer of methodology), dan alih nilai (transfer of value).
apa tujuan Pendidikan yang paling sederhana ?| Tujuan pendidikan yang paling sederhana adalah memanusiakan manusia, atau membantu manusia menjadi manusia. Naquib al-attas menyatakan bahwa tujuanpendidikan Islam adalah terciptanya orang yang berkepribadian muslim.
